Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
1921	173327	ttm-5	Putative sphingolipid delta(4)-desaturase/C4-hydroxylase	Caenorhabditis elegans	.16375				increase	RNA interference of TTM-5 (Y54E5A.1), an ortholog of human delta(4)-desaturase, sphingolipid 2, results in both mean and maximum lifespan extension.	anti	12	40	RNA interference	
688	186958	ttr-1	TransThyretin-Related family domain	Caenorhabditis elegans	Cel.10318	K03H1.6			increase	RNA interference extends mean lifespan by 14-19%.	anti		19	RNA interference	
82	176312	ttr-5	TransThyretin-Related family domain	Caenorhabditis elegans	Cel.10721	C40H1.5			increase	RNA interference increased mean lifespan 14%.	anti		14	RNA interference	
1741	180313	ttx-1	Protein TTX-1	Caenorhabditis elegans		Y113G7A.6			decrease	Animals in which the thermosensory AFD neurons had been laser ablated, as well as animals that carry ttx-1 mutations, live up to 25% shorter than normal at 25 degrees C, a warm temperature, but neither AFD ablation nor ttx-1 mutation do not influence life span at 15 or 20 degrees C.	pro		25	Mutation	
994	181357	ttx-3	abnormal ThermoTaXis	Caenorhabditis elegans		C40H5.5			decrease	Mean lifespan was shorter by 10% compared to WT	pro		10	Mutations	
689	174312	tub-1	TUBby-related	Caenorhabditis elegans	Cel.19577	F10B5.4			increase	Mutation leads to life-extension dependent on daf-16.	anti			Mutation	
690	175398	tufm-1	TU elongation Factor (EF-Tu), Mitochondrial	Caenorhabditis elegans	Cel.19368	Y71H2AM.23			increase	RNA interference increased mean lifespan by 89%.	anti		89	RNA interference	
692	177073	ubc-13	UBiquitin Conjugating enzyme	Caenorhabditis elegans	Cel.7386	Y54G2A.31			decrease	RNA interference decreased median lifespan by 19% in daf-2 mutants.	pro			RNA interference	
693	179039	ubh-1	UBiquitin C-terminal Hydrolase (family 1)	Caenorhabditis elegans	Cel.3544	F46E10.8			decrease	RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.	pro			RNA interference	
694	259626	ubh-3	UBiquitin C-terminal Hydrolase (family 1)	Caenorhabditis elegans	Cel.7801	Y40G12A.1			decrease	RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.	pro			RNA interference	
58	174289	ubh-4	UBiquitin C-terminal Hydrolase	Caenorhabditis elegans	Cel.15951	C08B11.7			increase	RNA interference extended lifespan.	anti			RNA interference	
697	175772	ucr-1	Ubiquinol-Cytochrome c oxidoReductase complex	Caenorhabditis elegans	Cel.5626	F56D2.1			increase	RNA interference increased mean lifespan by 20%.	anti		20	RNA interference	
697	175772	ucr-1	Ubiquinol-Cytochrome c oxidoReductase complex	Caenorhabditis elegans	Cel.5626	F56D2.1			increase	RNAi led to a 110% mean lifespan extension.	anti		110	RNA interference	
697	175772	ucr-1	Ubiquinol-Cytochrome c oxidoReductase complex	Caenorhabditis elegans	Cel.5626	F56D2.1			increase	RNA interference of ucr-1 results in an increased lifespan.	anti		14.1	RNA interference	
995	175248	ucr-2.3	Ubiquinol-Cytochrome c oxidoReductase complex	Caenorhabditis elegans		T24C4.1			increase	15% mean lifespan extension	anti		15	RNA interference	
698	3565860	ufd-1	Ubiquitin Fusion Degradation (yeast UFD homolog)	Caenorhabditis elegans	Cel.22547	F19B6.2			decrease	RNA interference decreased median lifespan by 64% in wild type animals, 77% in a daf-2 background and 42% in daf-2/daf-16 double mutants.	pro		64	RNA interference	
2156	171778	ule-1	Uterine Lumin Expressed/locailized	Caenorhabditis elegans					decrease	Worms overexpressing ule-1 demonstrated a decrease in median lifespan (24%) when compared to the control. Two expression lines were used. These results were consistent for other uterine proteins. 	anti		24	Overexpression	
2157	4927009	ule-2	Uterine Lumin Expressed/locailized	Caenorhabditis elegans					decrease	Worms overexpressing ule-2 demonstrated a decrease in median lifespan (26%) when compared to the control. Two expression lines were used. These results were consistent for other uterine proteins. Additionally, simultaneous downregulation of ule-3, ule-4, ule-5, and ule-2 increased lifespan by 15-20% compared to the control.	anti		26	Overexpression	
2158	179497	ule-3	Uterine Lumin Expressed/locailized	Caenorhabditis elegans					decrease	Worms overexpressing ule-3 demonstrated a decrease in median lifespan (27%) when compared to the control. Two expression lines were used. These results were consistent for other uterine proteins. Additionally, simultaneous downregulation of ule-3, ule-4, ule-5, and ule-2 increased lifespan by 15-20% compared to the control.	anti		27	Overexpression	
2159	178331	ule-4	UPF0375 protein C08F11.11	Caenorhabditis elegans					decrease	Worms overexpressing ule-4 demonstrated a decrease in median lifespan (26%) when compared to the control. Two expression lines were used. These results were consistent for other uterine proteins. Additionally, simultaneous downregulation of ule-3, ule-4, ule-5, and ule-2 increased lifespan by 15-20% compared to the control.	anti		26	Overexpression	
2160	181365	ule-5	Uterine Lumin Expressed/locailized	Caenorhabditis elegans					decrease	Worms overexpressing ule-5 demonstrated a decrease in median lifespan (27%) when compared to the control. Two expression lines were used. These results were consistent for other uterine proteins. Additionally, simultaneous downregulation of ule-3, ule-4, ule-5, and ule-2 increased lifespan by 15-20% compared to the control.	anti		27	Overexpression	
699	175704	ulp-1	Ubiquitin-Like Protease	Caenorhabditis elegans	Cel.5297	T10F2.3			decrease	RNA interference decreased median lifespan by 22% in wild type animals, 22% in a daf-2 background and 13% in daf-2/daf-16 double mutants.	pro		22	RNA interference	
701	180990	unc-10	UNCoordinated	Caenorhabditis elegans	Cel.6180	T10A3.1			decrease	Mutation reduced maximum lifespan 35%.	anti	35		Mutation	
702	172497	unc-13	UNCoordinated	Caenorhabditis elegans	Cel.16847	ZK524.2			increase	Mutation results in a 150% life-extension in males.	anti		150	Mutation	
702	172497	unc-13	UNCoordinated	Caenorhabditis elegans	Cel.16847	ZK524.2			increase	RNAi led to a 16% maximum lifespan increase.	anti	16		Mutation	
703	178284	unc-26	UNCoordinated	Caenorhabditis elegans	Cel.5211	JC8.10			increase	Mutations in unc-26 extend lifespan by 30-50%.	anti		50	Mutation	
704	178233	unc-31	UNCoordinated	Caenorhabditis elegans	Cel.12250	ZK897.1			increase	Mutation increases hermaphrodite lifespan by approximately 70% and male lifespan by 150%.	anti		150	Mutation	
704	178233	unc-31	UNCoordinated	Caenorhabditis elegans	Cel.12250	ZK897.1			increase	Unc-1 worm mutants display an increased mean lifespan (by 34-36%)	anti		35	Mutation	
705	176257	unc-32	UNCoordinated	Caenorhabditis elegans	Cel.5846	ZK637.8			increase	Mutation extends lifespan.	anti			Mutation	
2229	176155	unc-36	unc-36	Caenorhabditis elegans					increase	Downregulation of unc36-1 in worms extended lifespan by 34% at 25 degrees celcius but not at 15 degrees celcius. Functional decline was delayed in the long-lived worms. However, unc-36 deletion mutants had impaired development resulting in small adult body size and shortened lifespan, suggesting that unc-36 is required maternally or during early life for normal development. 	anti		34	RNA interference	
706	174544	unc-4	UNCoordinated	Caenorhabditis elegans	Cel.14252	F26C11.2			increase	Mutation results in a two-fold life-extension in males.			100	Mutation	
996	180311	unc-51	UNCoordinated	Caenorhabditis elegans		Y60A3A.1			decrease	10-20% reduction in mean LS	pro		20	RNA interference	
996	180311	unc-51	UNCoordinated	Caenorhabditis elegans		Y60A3A.1			increase	RNAi resulted in a 10%-15% (wild type and daf2 mutants) maximal lifespan extension.	anti	15		RNA interference	
707	175126	unc-52	UNCoordinated	Caenorhabditis elegans	Cel.13832	ZC101.2			increase	RNA interference in adulthood extended mean lifespan by 11%.	anti		11	RNA interference	
708	178640	unc-60	UNCoordinated	Caenorhabditis elegans	Cel.17967	C38C3.5			decrease	RNA interference decreased median lifespan by 19% in daf-2 mutants.	pro			RNA interference	
709	178845	unc-62	UNCoordinated	Caenorhabditis elegans	Cel.8113	T28F12.2			increase	RNA interference in adulthood extended mean lifespan by 38%.	anti		38	RNA interference	
710	176743	unc-64	UNCoordinated	Caenorhabditis elegans	Cel.18377	F56A8.7			increase	Mutations in unc-64 and unc-31 result in constitutive dauer formation and increase lifespan, which is suppressed by mutations in daf-16.				Mutation	
711	180014	unc-76	UNCoordinated	Caenorhabditis elegans	Cel.8841	C01G10.11			increase	Allele extends male lifespan by about 50%.			50	Mutation	
712	179033	unc-83	UNCoordinated	Caenorhabditis elegans	Cel.17239	W01A11.3			increase	RNA interference extends lifespan.	anti			RNA interference	
247	172782	usp-48	Protein USP-48	Caenorhabditis elegans	Cel.5392	F30A10.10			decrease	RNA interference decreased median lifespan by 53% in a daf-2 background and 18% in daf-2/daf-16 double mutants.	pro			RNA interference	
1749	181110	utx-1	Protein UTX-1	Caenorhabditis elegans					increase	RNAi of the utx-1 gene extended the mean life span of worms, dependent on DAF-16 activity and not additive in daf-2 mutants. The loss of utx-1 increased H3K27me3 on the Igf1r/daf-2 gene and decreased IIS activity, resulting into an epigenetic state closer to that of younger worms.	anti		30	RNA interference	
1749	181110	utx-1	Protein UTX-1	Caenorhabditis elegans					increase	RNA inteference of utx-1 results in an incrased lifespan of up to 19%, depending on temperature.	anti		19	RNA interference	
997	173794	vab-1	Variable ABnormal morphology	Caenorhabditis elegans		M03A1.1			increase	20% mean lifespan extension	pro		20	Overexpression	
1752	180579	vang-1	Protein VANG-1	Caenorhabditis elegans					increase	Vang-1 mutations as well as RNAi depletion result in an increased mean lifespan in a DAF-16 dependent manner. The longevity phenotype is accompanied by enhanced resistance to thermal- and oxidative stress and decreased lipofuscin accumulation. Mutants also have a smaller brood size, decreased ovulation rate and prolonged reproductive span.	anti		40	RNA interference and/or mutations	
715	174743	vha-6	Vacuolar H ATPase	Caenorhabditis elegans	Cel.8017	VW02B12L.1			increase	RNA interference in adulthood extended mean lifespan by 24%.	anti		24	RNA interference	
998	181321	vhl-1	von Hippel-Lindau tumor suppressor homolog	Caenorhabditis elegans		F08G12.4			increase	Loss of VHL-1 significantly increased average lifespan (by 30%) and enhanced resistance to polyglutamine and amyloid beta toxicity, no change in MLS	anti		30	RNA interference	
998	181321	vhl-1	von Hippel-Lindau tumor suppressor homolog	Caenorhabditis elegans		F08G12.4			increase	Loss of vhl-1 significantly increased lifespan and resulted in accelerated basal signaling of the p38 mitogen-activated protein kinase PMK-3. 	anti			RNA interference	
2155	181034	vit-1	Vitellogenin-1	Caenorhabditis elegans					increase	Vit-1 RNAi was sufficient to silence vit-1 to vit-5. Downregulation of vit gene expression increased the lifespan of worms by 16-40%. Vit silencing failed to extend the life span of nhr-49 and nhr-80 mutant worms. 	anti		40	RNA interference	
718	180781	vit-2	VITellogenin structural genes (yolk protein genes)	Caenorhabditis elegans	Cel.16869	C42D8.2			increase	RNA interference extends lifespan.	anti			RNA interference	
717	180630	vit-5	VITellogenin structural genes (yolk protein genes)	Caenorhabditis elegans	Cel.16883	C04F6.1			increase	RNA interference extends lifespan.	anti			RNA interference	
719	175913	vps-16	related to yeast Vacuolar Protein Sorting factor	Caenorhabditis elegans	Cel.17115	C05D11.2			decrease	RNA interference decreased median lifespan by 21% in wild type animals and 38% in daf-2 mutants.	pro		21	RNA interference	
764	171654	vps-20	Protein VPS-20	Caenorhabditis elegans	Cel.16344	Y65B4A.3			decrease	RNA interference decreased median lifespan by 71% in a daf-2 background and 35% in daf-2/daf-16 double mutants.	pro			RNA interference	
68	175672	vps-22	Protein VPS-22	Caenorhabditis elegans	Cel.10798	C27F2.5			decrease	RNA interference decreased median lifespan by 43% in wild type animals, 33% in a daf-2 background and 9% in daf-2/daf-16 double mutants.	pro		43	RNA interference	
720	176221	vps-33.1	Vacuolar sorting protein	Caenorhabditis elegans	Cel.10953	B0303.9			decrease	RNA interference decreased median lifespan 30% in daf-2 mutants and 15% in a wild-type background.	pro		15	RNA interference	
663	179520	vps-36	VPS-36	Caenorhabditis elegans	Cel.4034	F17C11.8			decrease	RNA interference decreased median lifespan by 27% in wild type animals, 27% in a daf-2 background and 9% in daf-2/daf-16 double mutants.	pro		27	RNA interference	
102	178944	vps-37	related to yeast Vacuolar Protein Sorting factor	Caenorhabditis elegans	Cel.4337	CD4.4			decrease	RNA interference decreased median lifespan by 44% in wild type animals, 47% in a daf-2 background and 33% in daf-2/daf-16 double mutants.	pro		44	RNA interference	
721	174004	vrk-1	Vaccinia Related Kinase	Caenorhabditis elegans	Cel.4904	F28B12.3			decrease	RNA interference decreased median lifespan by 36% in wild type animals, 54% in a daf-2 background and 12% in daf-2/daf-16 double mutants.	pro		36	RNA interference	
723	189167	W03G1.5	Protein W03G1.5	Caenorhabditis elegans	Cel.12215	W03G1.5			increase	RNA interference increased mean lifespan by 54%.	anti		54	RNA interference	
999	189168	W03G1.8	hypothetical protein	Caenorhabditis elegans		W03G1.8			increase	Extended mean life span (10-20% in different backgrounds) when inactivated 	anti		20	RNA interference post development	
1943	176635	wah-1	Worm AIF (apoptosis inducing factor) Homolog	Caenorhabditis elegans	.9654				increase	RNA interference of wah-1 extends mean lifespan (by 12.7%) compared to wild-type worms.	anti		12.7	RNA interference	
154	172518	wdr-23	WD Repeat protein	Caenorhabditis elegans	Cel.17236	D2030.9			increase	RNA interference in adulthood extended mean lifespan by 24%.	anti		24	RNA interference	
1000	175474	wdr-5.1	Temporarily Assigned Gene name	Caenorhabditis elegans		C14B1.4			increase	30% mean lifespan extension	anti		30	Mutations	
1000	175474	wdr-5.1	Temporarily Assigned Gene name	Caenorhabditis elegans		C14B1.4			increase	Wdr-5 deficiency in the parental generation extend the lifespan of descendants up until thethird generation.	anti		20	Mutation	
732	175681	wip-1	Wiskott-Aldrich syndrome protein (WASP)-Interacting Protein and gene assignment	Caenorhabditis elegans	Cel.22683	R144.4			decrease	RNA interference decreased median lifespan by 33% in daf-2 mutants.	pro			RNA interference	
658	172896	wts-1	WarTS (Drosophila) protein kinase homolog	Caenorhabditis elegans	Cel.5279	T20F10.1			increase	RNA interference in adulthood extended mean lifespan by 21%.	anti		21	RNA interference	
733	171647	wwp-1	WW domain Protein (E3 ubiquitin ligase)	Caenorhabditis elegans	Cel.7528	Y65B4BR.4			decrease	RNA interference decreased median lifespan by 9% in wild type animals and 24% in daf-2 mutants.	pro		9	RNA interference	
733	171647	wwp-1	WW domain Protein (E3 ubiquitin ligase)	Caenorhabditis elegans	Cel.7528	Y65B4BR.4			increase	RNA interference of wwp-1 results in reduced lifespan at 25 degrees (but not at 20 degrees). Transgenic overexpression of wwp-1 results in a 20% increase in lifespan.	pro		20	Overexpression	
